№,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
1,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing," У мужа появилась сыпь. И угадай, почему?
(Кадры — муж чешет спину, кривится, нюхает футболку)","Думала, он просто переел сладкого. Или аллергия на кота. А потом поняла — сыпь совпадает со сменой постельного.

Выкинула порошок. Поменяла кондиционер. Стало хуже. Тогда я в панике полезла разбирать стиралку. Вынула оттуда чёрное, вонючее, липкое нечто. Я не могу это забыть.

Плакала. Звонила врачу. Он сказал: “Вы стираете в чём-то, что давно пора лечить, а не использовать”. И прислал мне артикул на WB — для очистки машинок, не вызывающий аллергии.

Заказала. Через два цикла — всё ушло. И запах, и сыпь. Теперь у меня одна фобия: что будет, если закончится упаковка.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Можно использовать с септиком, Без фосфатов, Устраняет запах, Без хлора, 99% бактерий и грибков убивает","💬 Муж в шоке, как посуда блестит. Артикул там же!"
2,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Думаете, машинка чистая? А она воняет, как общественный туалет.
(Кадры — хозяйка открывает барабан, бьёт по носу, закрывает в ужасе)","Была на йоге. Девочка рядом сказала: “У тебя от формы пахнет… ну, как у нас в спортзале внизу”. Мне хотелось провалиться.

Я думала, это я. Душ, парфюм, дезик — всё пробовала. Ноль. Пока однажды не засунула нос внутрь барабана. И всё поняла.

Наш старый пес начал выть, когда я запускала стирку — я думала, это совпадение. Нет. Он чуял, что машинка буквально гниёт изнутри.

Тогда друг мужа (работает на химзаводе) прислал линк на проверенное средство с WB. Говорит, у них им чистят даже лабораторные автоклавы.

Заказала. Пустила холостую стирку. После первого цикла — стало легче дышать. После третьего — запах ушёл. А я вернула себе уважение.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без фосфатов, Устраняет накипь, Гипоаллергенный, Можно использовать с септиком","🧼 Таблетка, которая решает все. Артикул оставила под роликом."
3,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я увидела, как стиралка начинает ржаветь изнутри, у меня началась паника.","Как раз захоила сестра и рассказала, как она тоже собиралась выкинуть машинку, но та не пролезла в окно, и она решила попробовать спасти её с помощью своей находки на вайлдбериз. Решила рискнуть и… результат превзошёл ожидания! Муж, конечно, не верил, но теперь сам просит заказать ещё.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Устраняет накипь, Продлевает срок службы техники, 99% бактерий и грибков убивает, Без хлора", Артикул в описании!
4,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Кажется, я знаю, почему моя стиралка стала издавать странные звуки — вы не поверите!","Когда машина начала громко шуметь, я была в панике, думая о ремонте. Но однажды раздался звонок в дверь, и за ней я обнаружила мужчину с загадочной улыбкой. Оказалось, он курьер вайлдберис. Не секрет, что они слушают все, о чем мы говорим рядом с телефонами, и поэтому принесли мне попробовать эту находку, которая спасла мою стиральную машину.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Гипоаллергенный, Можно использовать с септиком, Устраняет запах, Без хлора, Продлевает срок службы техники","🤫 Таблетка, которую советую всем подругам — артикул в описании."
5,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Ваши носки выглядят грязными даже после стирки? Пора менять подход!

(тут нужны ужасные кадры носков)","Я тоже не могла решить эту проблему. Иногда машинка даже ела один из носков, а иногда выдавала носок с дыркой после стирки. Пообщалась с знакомым инженером - оказалось, все из-за ржавчины, которая скапливается между барабаном и дверцей. Она грызет носки и отправляет их прямиком в слив. Но также он подсказал находку на вайлдбериз, которая давно в ходу у всех в их инженерной тусовке.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","99% бактерий и грибков убивает, Устраняет накипь, Без фосфатов, Устраняет запах, Без хлора",🚿 Забери артикул и проверь сам — чистота говорит сама за себя!
6,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Когда я поняла, что стиралка пахнет хуже мусорного ведра, я чуть не заплакала.","Тогда я начала искать средство, которое реально работает.  Долго ничего не могла найти, но встретила бывшую одноклассницу, от которой всегда неприятно пахло в школе, и многие дети ее дразнили. Я спросила ее, почему она больше не воняет, и она посоветовала мне эту находку на вайлдбериз. Муж смеется, что теперь я могу открывать шоу по «чистке стиралок», потому что результат был впечатляющий.","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет накипь, Гипоаллергенный, Без фосфатов, Без хлора, Можно использовать с септиком",🍽️ Посудомойка сияет? Спасибо таблеткам. Артикул — в описании!
7,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Есть мнение, что стиральная машина — это грязный рассадник бактерий.","Я даже читала исследования - кто-то взял штаммы из стиралки, и обнаружил сразу 31 неизвестный вирус! Моя история подтверждает это. Начала вытаскивать мусор из стиральной машинки и не могла поверить, сколько мусора внутри! Муж даже сказал, что теперь он боится стирать свои спортивные вещи, но это я раньше боялась, что они испортят машинку! Отправила его стирать их на реку, и там наша соседка рассказала ему, как держит машинку в чистоте. Вернулся чистый и с этой находкой на вайлдбериз","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Устраняет запах, Без хлора, Устраняет накипь, Продлевает срок службы техники, 99% бактерий и грибков убивает",✨ Не мыла вручную уже месяц. Таблетки по артикулу внизу!
8,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"Вы когда-нибудь задумывались, что стиральная машина может влиять на ваше здоровье?","Меня это насторожило, когда у меня началась аллергия. Чесалось буквально все, даже те места, особенно после сна на свежей постели. Оказалось, дело в аллергии - попробовала средство для чистки машинки. которое вызвало такую реакцию. Но врач подсказал мне находку на вайлдбериз, которой сам пользуется, чтобы сохранять машинку в чистоте и не вызвать аллергию. Сразу же заказала, и не пожалела!","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без фосфатов, Устраняет запах, Гипоаллергенный, Можно использовать с септиком, Продлевает срок службы техники",🧪 Это не просто таблетки — это магия. Артикул забирай под видео!
9,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,"(Ужасные кадры: вонючие, застиранные носки, на которые капает вода, люди морщатся)

Я думала, у нас просто плохой порошок. Или вода. Или носки дешёвые. Но однажды мама попросила поставить стирку — и вернула мне носки обратно, сказав: «Я не хочу это носить»","Я была в шоке. Села читать форумы. Оказалось, грязь накапливается между резинкой и барабаном — и при каждой стирке она возвращается обратно. Мы не стираем вещи — мы их маринуем.

Всё решила подруга-сантехник. Сказала: у них в бригаде каждый раз использовали одно и то же средство с WB, чтобы не бегать по клиентам с жалобами на «вонючую стирку».

Я заказала. Через 2 дня пришло. Машинка теперь пахнет, как утренний лес после дождя. А носки — как свежий ветерок","Далее проводим распаковку продукта, показываем ключевые триггеры таблеток для стиральной машины.","Без хлора, 99% бактерий и грибков убивает, Гипоаллергенный, Устраняет накипь, Устраняет запах","👇 Хочешь так же? Артикул в описании, не благодарите!"
10,Юлия @filatovalu,Таблетки для стиральной машины,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,,,,
